,Date,Open,High,Low,Close,Volume
5562,2021-05-31 06:00:00,34447.35000000,35115.27000000,34434.29000000,35040.94000000,3946.59931400
5563,2021-05-31 07:00:00,35045.92000000,35975.00000000,34981.11000000,35850.17000000,6010.32468600
5564,2021-05-31 08:00:00,35850.17000000,36240.09000000,35588.08000000,36120.49000000,4694.03965400
5565,2021-05-31 09:00:00,36120.49000000,36384.99000000,35876.00000000,35929.80000000,4351.97549300
5566,2021-05-31 10:00:00,35931.48000000,37030.00000000,35926.81000000,36882.95000000,8736.33482300
5567,2021-05-31 11:00:00,36883.75000000,37195.00000000,36750.00000000,36836.46000000,5165.13626200
5568,2021-05-31 12:00:00,36836.46000000,37278.03000000,36605.00000000,36777.00000000,5044.90583600
5569,2021-05-31 13:00:00,36777.01000000,37062.57000000,36510.66000000,36721.28000000,5030.72389400
5570,2021-05-31 14:00:00,36721.29000000,36853.94000000,36333.44000000,36620.39000000,4333.30578300
5571,2021-05-31 15:00:00,36620.39000000,37149.99000000,36580.01000000,36961.16000000,4167.82425500
5572,2021-05-31 16:00:00,36961.16000000,37457.07000000,36843.24000000,37117.24000000,6313.22832900
5573,2021-05-31 17:00:00,37117.21000000,37178.16000000,36673.41000000,36934.73000000,4003.90725600
5574,2021-05-31 18:00:00,36935.81000000,36955.02000000,36600.20000000,36694.27000000,1919.11518900
5575,2021-05-31 19:00:00,36694.27000000,36871.38000000,36510.01000000,36863.67000000,1963.40227300
5576,2021-05-31 20:00:00,36865.75000000,36980.76000000,36557.30000000,36675.06000000,1697.83460500
5577,2021-05-31 21:00:00,36677.85000000,37087.30000000,36623.01000000,36932.55000000,1483.17106800
5578,2021-05-31 22:00:00,36932.55000000,37250.00000000,36835.85000000,36879.23000000,2322.34240200
5579,2021-05-31 23:00:00,36879.23000000,37499.00000000,36800.93000000,37253.81000000,2649.15418300
5580,2021-06-01 00:00:00,37253.82000000,37894.81000000,37100.00000000,37798.31000000,5234.07273500
5581,2021-06-01 01:00:00,37798.32000000,37803.49000000,37160.00000000,37196.64000000,3154.43415600
5582,2021-06-01 02:00:00,37196.64000000,37296.08000000,36620.00000000,36850.00000000,3078.85015800
5583,2021-06-01 03:00:00,36850.00000000,37124.09000000,36478.00000000,36704.99000000,3179.70135900
5584,2021-06-01 04:00:00,36706.80000000,36957.69000000,36561.89000000,36748.01000000,1767.10752700
5585,2021-06-01 05:00:00,36748.02000000,37350.00000000,36710.40000000,37266.55000000,2603.44526600
5586,2021-06-01 06:00:00,37264.66000000,37443.72000000,36710.19000000,36915.32000000,3002.41186500
5587,2021-06-01 07:00:00,36917.60000000,37171.09000000,36638.71000000,36831.58000000,2722.38317500
5588,2021-06-01 08:00:00,36831.58000000,36939.81000000,35902.43000000,36197.77000000,5806.78738900
5589,2021-06-01 09:00:00,36197.75000000,36362.98000000,35965.72000000,36231.51000000,2723.88999700
5590,2021-06-01 10:00:00,36234.10000000,36593.41000000,36095.15000000,36439.60000000,2804.83955100
5591,2021-06-01 11:00:00,36439.59000000,36761.96000000,36282.01000000,36596.62000000,2484.37082500
5592,2021-06-01 12:00:00,36596.63000000,36597.26000000,36112.01000000,36164.95000000,3365.37698300
5593,2021-06-01 13:00:00,36163.51000000,37440.00000000,35666.00000000,37039.69000000,10250.55577600
5594,2021-06-01 14:00:00,37036.57000000,37289.86000000,36478.36000000,36636.71000000,4510.79714900
5595,2021-06-01 15:00:00,36634.42000000,36644.70000000,36025.46000000,36235.29000000,3903.09570600
5596,2021-06-01 16:00:00,36235.28000000,36479.99000000,35760.00000000,35875.57000000,4317.77487600
5597,2021-06-01 17:00:00,35871.69000000,36300.00000000,35716.66000000,36154.77000000,2880.59245100
5598,2021-06-01 18:00:00,36154.64000000,36492.89000000,36087.95000000,36240.69000000,2494.57669900
5599,2021-06-01 19:00:00,36240.46000000,36240.49000000,35726.36000000,35973.87000000,3225.50893200
5600,2021-06-01 20:00:00,35973.86000000,36339.60000000,35873.08000000,36327.05000000,1999.82083200
5601,2021-06-01 21:00:00,36327.05000000,36474.55000000,36040.11000000,36418.77000000,1772.28891900
5602,2021-06-01 22:00:00,36418.77000000,36590.53000000,36213.80000000,36433.69000000,1811.94780700
5603,2021-06-01 23:00:00,36433.69000000,36800.00000000,36428.42000000,36693.09000000,2140.03363700
5604,2021-06-02 00:00:00,36694.85000000,36900.00000000,36059.12000000,36179.39000000,2792.54751700
5605,2021-06-02 01:00:00,36179.38000000,36299.47000000,35920.00000000,36292.17000000,1757.99995800
5606,2021-06-02 02:00:00,36292.17000000,36550.00000000,36230.00000000,36268.41000000,1463.20692100
5607,2021-06-02 03:00:00,36267.67000000,36685.00000000,36267.08000000,36472.39000000,1989.76496000
5608,2021-06-02 04:00:00,36472.38000000,36767.44000000,36472.38000000,36665.05000000,1930.59124600
5609,2021-06-02 05:00:00,36662.22000000,36921.00000000,36487.66000000,36808.49000000,2488.19277000
5610,2021-06-02 06:00:00,36808.49000000,36989.00000000,36661.53000000,36734.54000000,2448.94076900
5611,2021-06-02 07:00:00,36734.54000000,37400.00000000,36731.03000000,37220.00000000,5591.50993400
5612,2021-06-02 08:00:00,37219.99000000,37473.29000000,37065.00000000,37371.01000000,3634.60170400
5613,2021-06-02 09:00:00,37371.64000000,37538.07000000,37169.26000000,37270.26000000,3172.90491400
5614,2021-06-02 10:00:00,37270.26000000,37294.54000000,37042.70000000,37151.17000000,2548.99059100
5615,2021-06-02 11:00:00,37148.02000000,37369.20000000,36851.45000000,37203.08000000,3485.80638900
5616,2021-06-02 12:00:00,37203.08000000,37450.75000000,37170.38000000,37276.59000000,2547.70001400
5617,2021-06-02 13:00:00,37276.58000000,37800.00000000,37058.61000000,37539.04000000,5254.22914500
5618,2021-06-02 14:00:00,37539.05000000,38100.00000000,37455.00000000,37853.57000000,5342.75313000
5619,2021-06-02 15:00:00,37853.57000000,38225.00000000,37853.56000000,38040.70000000,4402.05068800
5620,2021-06-02 16:00:00,38040.69000000,38200.00000000,37727.37000000,37893.57000000,3948.77787700
5621,2021-06-02 17:00:00,37893.57000000,38095.00000000,37750.00000000,38014.98000000,2057.31499400
5622,2021-06-02 18:00:00,38014.23000000,38066.65000000,37775.00000000,38016.41000000,1826.69516300
5623,2021-06-02 19:00:00,38016.41000000,38045.00000000,37795.59000000,37884.57000000,1458.80355800
5624,2021-06-02 20:00:00,37884.58000000,37929.97000000,37569.25000000,37724.61000000,2425.93137800
5625,2021-06-02 21:00:00,37724.61000000,37918.00000000,37673.21000000,37780.32000000,1280.28050800
5626,2021-06-02 22:00:00,37779.86000000,37874.66000000,37320.00000000,37527.89000000,2308.79159200
5627,2021-06-02 23:00:00,37527.89000000,37745.41000000,37434.01000000,37568.68000000,1428.98677500
5628,2021-06-03 00:00:00,37568.68000000,37903.14000000,37291.35000000,37469.31000000,2938.20971300
5629,2021-06-03 01:00:00,37469.32000000,37580.43000000,37250.00000000,37298.00000000,1650.41893400
5630,2021-06-03 02:00:00,37298.01000000,37430.69000000,37170.00000000,37400.07000000,1984.27039200
5631,2021-06-03 03:00:00,37400.07000000,37678.86000000,37340.00000000,37634.57000000,1808.81507300
5632,2021-06-03 04:00:00,37635.24000000,38054.56000000,37600.00000000,37970.00000000,2364.16549000
5633,2021-06-03 05:00:00,37970.00000000,38895.00000000,37970.00000000,38795.88000000,7286.25633000
5634,2021-06-03 06:00:00,38795.88000000,38974.19000000,38589.97000000,38949.00000000,3510.44613900
5635,2021-06-03 07:00:00,38949.02000000,39039.19000000,38538.75000000,38634.09000000,3133.79057800
5636,2021-06-03 08:00:00,38634.77000000,38897.00000000,38518.96000000,38817.28000000,2548.36804500
5637,2021-06-03 09:00:00,38817.28000000,39210.00000000,38817.06000000,39119.59000000,3908.32291900
5638,2021-06-03 10:00:00,39119.84000000,39476.00000000,39017.44000000,39259.23000000,4322.78748200
5639,2021-06-03 11:00:00,39259.23000000,39308.02000000,38715.24000000,38781.75000000,5440.29644000
5640,2021-06-03 12:00:00,38781.75000000,39090.90000000,38555.00000000,38999.01000000,4793.18187900
5641,2021-06-03 13:00:00,38999.01000000,39265.25000000,38288.00000000,38440.01000000,7469.56700100
5642,2021-06-03 14:00:00,38440.00000000,38716.94000000,38343.54000000,38615.21000000,2965.05586300
5643,2021-06-03 15:00:00,38615.21000000,38768.20000000,38401.00000000,38535.61000000,2233.52697300
5644,2021-06-03 16:00:00,38535.60000000,38965.42000000,38431.03000000,38874.32000000,2969.05360900
5645,2021-06-03 17:00:00,38874.32000000,38997.00000000,38719.33000000,38791.90000000,2173.69614800
5646,2021-06-03 18:00:00,38791.89000000,38931.97000000,38522.72000000,38553.01000000,2107.19734400
5647,2021-06-03 19:00:00,38553.00000000,38674.15000000,38450.00000000,38596.64000000,1814.84908700
5648,2021-06-03 20:00:00,38596.65000000,38746.78000000,38532.31000000,38708.07000000,1480.72757700
5649,2021-06-03 21:00:00,38708.08000000,38987.61000000,38640.22000000,38741.35000000,1838.97533500
5650,2021-06-03 22:00:00,38745.77000000,38991.98000000,38718.98000000,38890.71000000,1544.96372800
5651,2021-06-03 23:00:00,38890.71000000,39450.00000000,38790.62000000,39246.79000000,3602.16393200
5652,2021-06-04 00:00:00,39246.78000000,39289.07000000,38575.90000000,38682.38000000,3036.88712300
5653,2021-06-04 01:00:00,38687.05000000,38692.80000000,37588.00000000,37900.00000000,7376.46457400
5654,2021-06-04 02:00:00,37900.00000000,37900.00000000,37320.26000000,37775.12000000,4298.06435500
